"state","puma12","cbsa","pop10","afact"
"State code","PUMA (2012)","CBSA (current)","Population (2010)","puma12 to cbsa allocation factor"
"13","06002","12060",103471,1 
"15","00100","27980",154924,0.6978 
"15","00100","28180",67091,0.3022 
"15","00200","25900",185079,1 
"15","00301","46520",100975,1 
"15","00302","46520",115164,1 
"15","00303","46520",107596,1 
"15","00304","46520",121369,1 
"15","00305","46520",114534,1 
"15","00306","46520",141615,1 
"15","00307","46520",145342,1 
"15","00308","46520",106612,1 
"16","00100"," ",33022,0.2847 
"16","00100","17660",4845,0.0418 
"16","00100","34140",37244,0.3211 
"16","00100","41760",40877,0.3524 
"16","00200","17660",133649,1 
"16","00300"," ",55973,0.5323 
"16","00300","14260",7028,0.0668 
"16","00300","26820",2891,0.0275 
"16","00300","30300",39265,0.3734 
"16","00400"," ",10198,0.0963 
"16","00400","14260",73079,0.6901 
"16","00400","36620",22623,0.2136 
"16","00500","14260",110936,1 
"16","00600","14260",112509,1 
"16","00701","14260",105357,1 
"16","00702","14260",100664,1 
"16","00800","14260",106988,1 
"16","00900","15420",22952,0.2291 
"16","00900","46300",77230,0.7709 
"16","01000"," ",15464,0.1373 
"16","01000","15420",20069,0.1782 
"16","01000","25200",27701,0.2459 
"16","01000","34300",27038,0.24 
"16","01000","46300",22374,0.1986 
"16","01100","13940",42777,0.3294 
"16","01100","26820",26140,0.2013 
"16","01100","27220",10170,0.0783 
"16","01100","39940",50778,0.391 
"16","01200","26820",104234,1 
"16","01300"," ",25052,0.2028 
"16","01300","13940",2830,0.0229 
"16","01300","30860",12786,0.1035 
"16","01300","38540",82839,0.6707 
"17","00104"," ",38065,0.2871 
"17","00104","19940",36031,0.2717 
"17","00104","44580",58498,0.4412 
"17","00105","19340",147546,1 
